a_id,a_item_id,a_m_id,a_s_price,a_s_date,a_e_date,a_status
16,20,1,5.00,2025-11-23 08:51:48.072518,2025-11-30 08:51:48.072518,
17,22,1,5.00,2025-11-23 08:54:10.543638,2025-11-30 08:54:10.543638,
25,38,1,5.00,2025-11-23 14:08:16.890730,2025-11-30 14:08:16.890730,
43,62,1,5.00,2025-11-23 15:05:22.076105,2025-11-30 15:05:22.076105,
44,63,1,5.00,2025-11-23 15:09:36.189029,2025-11-30 15:09:36.189029,
45,64,1,5.00,2025-11-23 15:11:37.333976,2025-11-30 15:11:37.333976,
46,65,1,5.00,2025-11-23 15:13:22.227396,2025-11-30 15:13:22.227396,
47,66,1,5.00,2025-11-23 15:14:20.275867,2025-11-30 15:14:20.275867,
48,67,1,5.00,2025-11-23 15:26:04.335943,2025-11-30 15:26:04.335943,
49,68,1,5.00,2025-11-23 15:29:38.446376,2025-11-30 15:29:38.446376,
50,69,1,5.00,2025-11-23 15:30:16.347111,2025-11-30 15:30:16.347111,
51,70,1,5.00,2025-11-23 15:31:40.430857,2025-11-30 15:31:40.430857,
52,71,1,5.00,2025-11-23 15:32:07.685943,2025-11-30 15:32:07.685943,
53,72,1,5.00,2025-11-23 15:32:32.454917,2025-11-30 15:32:32.454917,
54,73,1,5.00,2025-11-23 15:33:03.007652,2025-11-30 15:33:03.007652,
55,74,1,5.00,2025-11-23 15:33:50.937875,2025-11-30 15:33:50.937875,
56,75,1,5.00,2025-11-23 15:34:30.575104,2025-11-30 15:34:30.575104,
